exp,escenari,n_centres,n_grups,seed,h_final,temps_ms
5a,grups,5,100,11,2709.3001,127
5a,grups,5,100,22,2831.9126,28
5a,grups,5,100,33,2399.0626,40
5a,grups,5,100,44,2524.6456,22
5a,grups,5,100,55,2752.1936,75
5a,grups,5,100,66,2614.1344,66
5a,grups,5,100,77,2440.1373,49
5a,grups,5,100,88,2735.5634,36
5a,grups,5,100,99,2445.7874,55
5a,grups,5,100,110,2722.5977,41
5a,grups,5,150,11,3888.6554,148
5a,grups,5,150,22,4155.4533,67
5a,grups,5,150,33,3518.1055,138
5a,grups,5,150,44,3830.4126,138
5a,grups,5,150,55,4182.7777,212
5a,grups,5,150,66,3990.6234,146
5a,grups,5,150,77,3662.8364,161
5a,grups,5,150,88,4210.4968,160
5a,grups,5,150,99,3660.8187,275
5a,grups,5,150,110,3865.5131,139
5a,grups,5,200,11,5090.2497,392
5a,grups,5,200,22,5533.2204,253
5a,grups,5,200,33,4660.2481,463
5a,grups,5,200,44,4838.7164,543
5a,grups,5,200,55,5275.9290,744
5a,grups,5,200,66,5155.0533,594
5a,grups,5,200,77,4936.7174,438
5a,grups,5,200,88,5536.6209,614
5a,grups,5,200,99,4953.6839,426
5a,grups,5,200,110,5152.7568,424
5a,grups,5,250,11,6427.9257,1023
5a,grups,5,250,22,6755.1379,661
5a,grups,5,250,33,5874.0193,1457
5a,grups,5,250,44,6237.8362,1349
5a,grups,5,250,55,6552.9632,1657
5a,grups,5,250,66,6351.5605,854
5a,grups,5,250,77,6119.9896,910
5a,grups,5,250,88,6856.0448,1962
5a,grups,5,250,99,6088.3837,1000
5a,grups,5,250,110,6163.4111,1103
5a,grups,5,300,11,7629.0879,2359
5a,grups,5,300,22,8122.7435,1611
5a,grups,5,300,33,7052.2698,2568
5a,grups,5,300,44,7548.6987,2235
5a,grups,5,300,55,7767.9187,4198
5a,grups,5,300,66,7666.9292,1919
5a,grups,5,300,77,7352.0873,2297
5a,grups,5,300,88,8242.7143,5330
5a,grups,5,300,99,7405.6586,4868
5a,grups,5,300,110,7423.7896,4499
5a,grups,5,350,11,8986.8509,3079
5a,grups,5,350,22,9268.0875,3053
5a,grups,5,350,33,8451.9849,3862
5a,grups,5,350,44,8781.0214,8370
5a,grups,5,350,55,9045.9202,9670
5a,grups,5,350,66,8855.6004,4398
5a,grups,5,350,77,8419.3364,5574
5a,grups,5,350,88,9735.8213,7158
5a,grups,5,350,99,8482.7128,5144
5a,grups,5,350,110,8389.2931,4574
5a,grups,5,400,11,10219.1519,6931
5a,grups,5,400,22,10260.4900,4474
5a,grups,5,400,33,9585.6370,8081
5a,grups,5,400,44,9980.9979,13017
5a,grups,5,400,55,10067.9214,18592
5a,grups,5,400,66,10016.1745,10295
5a,grups,5,400,77,9656.1736,7277
5a,grups,5,400,88,11107.4848,13669
5a,grups,5,400,99,9719.2604,10634
5a,grups,5,400,110,9663.0970,7393
5b,centres,5,100,11,2709.3001,54
5b,centres,5,100,22,2831.9126,14
5b,centres,5,100,33,2399.0626,20
5b,centres,5,100,44,2524.6456,14
5b,centres,5,100,55,2752.1936,61
5b,centres,5,100,66,2614.1344,66
5b,centres,5,100,77,2440.1373,40
5b,centres,5,100,88,2735.5634,36
5b,centres,5,100,99,2445.7874,55
5b,centres,5,100,110,2722.5977,40
5b,centres,10,100,11,2332.0679,62
5b,centres,10,100,22,2692.1655,24
5b,centres,10,100,33,2130.0802,65
5b,centres,10,100,44,2225.5559,78
5b,centres,10,100,55,2361.5802,101
5b,centres,10,100,66,2424.6781,29
5b,centres,10,100,77,2325.0662,63
5b,centres,10,100,88,2271.7744,49
5b,centres,10,100,99,2268.0984,58
5b,centres,10,100,110,2532.9247,42
5b,centres,15,100,11,2290.2246,67
5b,centres,15,100,22,2398.4547,44
5b,centres,15,100,33,2093.2944,111
5b,centres,15,100,44,2134.3425,95
5b,centres,15,100,55,2111.6895,137
5b,centres,15,100,66,2272.0345,81
5b,centres,15,100,77,2164.3945,144
5b,centres,15,100,88,2134.0370,110
5b,centres,15,100,99,2206.6856,113
5b,centres,15,100,110,2467.6304,108
5b,centres,20,100,11,2139.6160,162
5b,centres,20,100,22,2311.0139,101
5b,centres,20,100,33,1973.7956,88
5b,centres,20,100,44,2038.4228,130
5b,centres,20,100,55,2019.4329,91
5b,centres,20,100,66,2210.8548,174
5b,centres,20,100,77,2088.6966,170
5b,centres,20,100,88,2076.0457,106
5b,centres,20,100,99,2066.1122,151
5b,centres,20,100,110,2386.6243,123
5b,centres,25,100,11,2055.2890,219
5b,centres,25,100,22,2216.3782,157
5b,centres,25,100,33,1913.5102,167
5b,centres,25,100,44,1922.4440,190
5b,centres,25,100,55,1999.0969,150
5b,centres,25,100,66,2088.8808,197
5b,centres,25,100,77,1990.2534,124
5b,centres,25,100,88,1908.9841,120
5b,centres,25,100,99,1967.6282,206
5b,centres,25,100,110,2323.5366,94
5b,centres,30,100,11,1985.3333,185
5b,centres,30,100,22,2131.8701,99
5b,centres,30,100,33,1876.5407,119
5b,centres,30,100,44,1832.7571,143
5b,centres,30,100,55,1932.4869,154
5b,centres,30,100,66,2053.0881,170
5b,centres,30,100,77,1934.8477,215
5b,centres,30,100,88,1841.9845,201
5b,centres,30,100,99,1896.3092,261
5b,centres,30,100,110,2292.5896,101
5b,centres,35,100,11,1957.1835,202
5b,centres,35,100,22,2076.2122,103
5b,centres,35,100,33,1852.8035,113
5b,centres,35,100,44,1824.4106,221
5b,centres,35,100,55,1883.6978,108
5b,centres,35,100,66,1995.5109,103
5b,centres,35,100,77,1874.1862,145
5b,centres,35,100,88,1797.1246,144
5b,centres,35,100,99,1896.1247,230
5b,centres,35,100,110,2212.5248,171
